Priority (Assigned by ATT&CK),Technique,Number of Mapped Controls (NIST 800-53)
22,T1552,30
43,T1530,30
21,T1190,24
31,T1210,24
67,T1601,23
67,T1601.001,23
67,T1601.002,23
1,T1059,22
9,T1021.001,22
26,T1072,22
61,T1542.005,22
65,T1565,22
75,T1602,22
75,T1602.001,22
75,T1602.002,22
9,T1021.005,21
10,T1003,21
29,T1557,21
52,T1213,21
52,T1213.001,21
52,T1213.002,21
57,T1505.004,21
5,T1543,20
17,T1078,20
17,T1078.004,20
22,T1552.004,20
29,T1557.002,20
65,T1565.001,20
1,T1059.001,18
4,T1574,18
10,T1003.001,18
11,T1218,18
12,T1548,18
23,T1070,18
23,T1070.001,18
23,T1070.002,18
27,T1068,18
38,T1559,18
44,T1048.003,18
47,T1558,18
47,T1558.002,18
47,T1558.003,18
47,T1558.004,18
57,T1505,18
57,T1505.002,18
59,T1537,18
61,T1542.004,18
129,T1611,18
1,T1059.005,17
9,T1021.003,17
10,T1003.003,17
10,T1003.005,17
17,T1078.003,17
22,T1552.001,17
22,T1552.002,17
44,T1048,17
44,T1048.002,17
48,T1528,17
53,T1563,17
53,T1563.001,17
53,T1563.002,17
61,T1542,17
73,T1212,17
76,T1599,17
76,T1599.001,17
1,T1059.007,16
2,T1047,16
5,T1543.002,16
6,T1562.006,16
10,T1003.006,16
46,T1133,16
58,T1556,16
61,T1542.001,16
61,T1542.003,16
63,T1553,16
71,T1211,16
1,T1059.006,15
1,T1059.008,15
4,T1574.007,15
4,T1574.008,15
4,T1574.009,15
6,T1562,15
9,T1021.002,15
9,T1021.004,15
9,T1021.006,15
10,T1003.002,15
11,T1218.012,15
16,T1204.003,15
25,T1071.004,15
50,T1189,15
78,T1052,15
78,T1052.001,15
83,T1495,15
1,T1059.002,14
3,T1053,14
10,T1003.004,14
10,T1003.007,14
10,T1003.008,14
20,T1569,14
32,T1110,14
32,T1110.001,14
32,T1110.002,14
32,T1110.003,14
32,T1110.004,14
34,T1136,14
34,T1136.002,14
34,T1136.003,14
40,T1098.001,14
58,T1556.001,14
82,T1176,14
84,T1550.001,14
89,T1525,14
91,T1119,14
94,T1041,14
3,T1053.002,13
3,T1053.005,13
4,T1574.004,13
6,T1562.001,13
6,T1562.002,13
6,T1562.004,13
20,T1569.002,13
25,T1071,13
25,T1071.001,13
25,T1071.002,13
25,T1071.003,13
29,T1557.001,13
35,T1197,13
38,T1559.002,13
52,T1213.003,13
58,T1556.004,13
77,T1114,13
79,T1221,13
95,T1185,13
97,T1567,13
6,T1562.009,12
7,T1055,12
7,T1055.008,12
9,T1021,12
12,T1548.003,12
16,T1204,12
