Priority (Assigned by MITRE/ATT&CK),Technique,Number of Mapped Controls,Controls
1,T1059,22,AC-2|CM-6|SI-7|AC-3|SI-4|SI-16|AC-6|CM-8|CM-2|IA-2|AC-17|SI-3|AC-5|SC-18|CM-5|CM-7|SI-10|CM-11|RA-5|SI-2|CA-7|IA-8
1,T1059.001,18,SI-16|AC-6|SI-3|CM-8|CM-2|AC-5|RA-5|AC-2|SI-2|CM-6|SI-7|CM-5|IA-2|AC-3|SI-10|AC-17|IA-8|SI-4
1,T1059.002,14,SI-16|AC-6|SI-3|CM-2|SR-11|AC-2|SR-5|CM-6|SI-7|SR-6|AC-3|SI-10|AC-17|SI-4
1,T1059.003,11,SI-16|AC-6|SI-3|CM-2|AC-2|CM-6|SI-7|AC-3|SI-10|AC-17|SI-4
1,T1059.004,11,SI-16|AC-6|SI-3|CM-2|AC-2|CM-6|SI-7|AC-3|SI-10|AC-17|SI-4
1,T1059.005,17,SI-16|AC-6|SI-3|CM-8|CM-2|RA-5|AC-2|SI-2|CM-6|SI-7|SC-18|CM-7|CA-7|AC-3|SI-10|AC-17|SI-4
1,T1059.006,15,SI-16|AC-6|SI-3|CM-3|CM-2|AC-2|SI-2|CM-6|SI-4|SI-7|CM-5|AC-3|SI-10|AC-17|CM-11
1,T1059.007,16,SI-16|AC-6|SI-3|CM-8|CM-2|RA-5|AC-2|CM-6|SI-7|SC-18|CM-7|CA-7|AC-3|SI-10|AC-17|SI-4
1,T1059.008,15,SI-16|AC-6|SI-3|CM-2|AC-5|AC-2|CM-6|SI-7|CM-5|IA-2|AC-3|SI-10|AC-17|IA-8|SI-4
2,T1047,16,SI-16|AC-6|SI-3|CM-2|AC-5|RA-5|AC-2|SI-2|CM-6|SI-7|CM-5|CM-7|IA-2|AC-3|AC-17|SI-4
3,T1053,14,AC-6|CM-8|CM-2|IA-4|AC-5|RA-5|AC-2|CM-6|CM-5|CM-7|IA-2|AC-3|IA-8|SI-4
3,T1053.001,8,AC-6|AC-5|RA-5|AC-2|CM-5|IA-2|AC-3|SI-4
3,T1053.002,13,AC-6|CM-8|CM-2|IA-4|AC-5|RA-5|AC-2|CM-6|CM-5|CM-7|IA-2|AC-3|SI-4
3,T1053.003,8,AC-6|AC-5|RA-5|AC-2|CM-5|IA-2|AC-3|SI-4
3,T1053.005,13,AC-6|CM-8|CM-2|IA-4|AC-5|RA-5|AC-2|CM-6|CM-5|CM-7|IA-2|AC-3|SI-4
3,T1053.006,9,AC-6|AC-5|AC-2|SI-7|CM-5|CA-7|IA-2|AC-3|SI-4
3,T1053.007,7,AC-6|AC-5|AC-2|CM-5|IA-2|AC-3|IA-8
4,T1574,18,SI-3|AC-6|CM-8|CM-2|AC-5|RA-5|AC-2|SI-2|CM-6|SI-7|CM-5|CM-7|CA-7|IA-2|AC-3|SI-10|SI-4|AC-4
4,T1574.001,8,SI-3|CM-2|RA-5|CM-6|SI-7|CM-7|SI-10|SI-4
4,T1574.002,7,SA-8|SA-4|SI-2|SA-15|SA-10|SA-11|SA-3
4,T1574.004,13,SI-3|AC-6|CM-8|CM-2|AC-5|RA-5|AC-2|CM-6|SI-7|CA-7|AC-3|SI-4|AC-4
4,T1574.005,11,AC-6|CM-2|AC-5|RA-5|AC-2|CM-6|CM-5|IA-2|AC-3|SI-4|AC-4
4,T1574.006,4,CM-7|CM-6|SI-10|SI-7
4,T1574.007,15,SI-3|AC-6|CM-8|CM-2|AC-5|RA-5|AC-2|CM-6|SI-7|CM-7|CA-7|AC-3|SI-10|SI-4|AC-4
4,T1574.008,15,SI-3|AC-6|CM-8|CM-2|AC-5|RA-5|AC-2|CM-6|SI-7|CM-7|CA-7|AC-3|SI-10|SI-4|AC-4
4,T1574.009,15,SI-3|AC-6|CM-8|CM-2|AC-5|RA-5|AC-2|CM-6|SI-7|CM-7|CA-7|AC-3|SI-10|SI-4|AC-4
4,T1574.010,11,AC-6|CM-2|AC-5|RA-5|AC-2|CM-6|CM-5|IA-2|AC-3|SI-4|AC-4
4,T1574.011,2,AC-6|CM-5
4,T1574.012,9,AC-6|AC-5|AC-2|SI-7|CM-5|CM-7|IA-2|AC-3|SI-10
