Control,Number of ATT&CK Techniques Mapped,Related CIS Controls
SI-4,332,CIS-1|CIS-10|CIS-13|CIS-15
CM-6,311,CIS-4|CIS-12|CIS-13|CIS-16
CM-2,253,CIS-4
AC-3,240,CIS-3|CIS-6
AC-6,229,CIS-3|CIS-5|CIS-6
SI-3,198,CIS-9|CIS-10
CM-7,196,CIS-2|CIS-4|CIS-12|CIS-13|CIS-16
CA-7,194,CIS-3
AC-2,181,CIS-4|CIS-5|CIS-6|CIS-12
SI-7,179,CIS-2
IA-2,156,CIS-6
AC-5,153,CIS-3|CIS-6
CM-5,143,
SC-7,143,CIS-4|CIS-9|CIS-12|CIS-13
AC-4,141,CIS-3
RA-5,102,CIS-7|CIS-16
SI-10,92,
CM-8,91,CIS-1|CIS-2|CIS-6|CIS-12|CIS-16
SI-2,73,CIS-7|CIS-16
AC-17,71,CIS-3|CIS-12|CIS-13
IA-5,62,CIS-3|CIS-4|CIS-5|CIS-6
AC-20,55,CIS-4|CIS-15
SC-28,40,CIS-3|CIS-11
SC-18,37,CIS-9
SI-16,34,CIS-10
IA-4,33,CIS-6
CM-11,32,CIS-2|CIS-9
SA-11,32,CIS-16
SI-12,30,CIS-3
AC-19,26,CIS-4|CIS-6
SC-4,26,CIS-3
CM-3,24,
SA-10,24,CIS-4
AC-18,23,CIS-4|CIS-12
SC-39,22,CIS-4
CP-9,20,CIS-11
IA-8,20,CIS-6
SI-8,20,CIS-9
SA-8,19,CIS-4|CIS-12|CIS-16
SC-23,17,CIS-12
AC-7,16,CIS-4
CP-7,15,CIS-12
SC-8,15,CIS-3
SC-20,14,CIS-4
SA-15,13,CIS-16
IA-7,12,
RA-9,12,
SR-6,12,CIS-15
CP-10,11,CIS-11
SR-11,11,CIS-16
SR-5,11,CIS-15
SC-12,10,
CM-10,9,CIS-2|CIS-9
CP-2,9,CIS-11
IA-6,8,
SC-2,8,
CP-6,7,CIS-11|CIS-12
IA-3,7,
SC-21,7,CIS-4
SC-22,7,CIS-4
CA-3,6,
MP-7,6,CIS-3|CIS-10
SA-22,6,CIS-2
SA-3,6,CIS-4|CIS-16
SA-4,6,CIS-15
CA-2,5,
IA-11,5,
SA-9,5,CIS-15
SC-10,5,
AC-12,4,CIS-4
IA-12,4,
SC-13,4,
SI-5,4,
AC-21,3,CIS-15
AC-11,2,CIS-4
CM-12,2,CIS-3
SC-17,2,
AC-14,1,
AC-8,1,
IR-5,1,CIS-17
