Control,Number of ATT&CK Techniques & Sub-Techniques Mapped,Related CIS Controls,Techniques
SI-4,332,CIS-1|CIS-10|CIS-13|CIS-15,T1011.001|T1218.014|T1547.003|T1110.004|T1090.002|T1098.003|T1553.005|T1071.003|T1553|T1059.003|T1547.007|T1114.002|T1499|T1565.002|T1110.002|T1548.003|T1218.009|T1574.005|T1021.002|T1137|T1528|T1548.002|T1558.002|T1216.001|T1021.001|T1001.001|T1574.010|T1037|T1613|T1087.001|T1053.005|T1218.001|T1548.004|T1071.004|T1053.002|T1052.001|T1546.002|T1552.006|T1048|T1602.001|T1114.001|T1059.004|T1218.008|T1040|T1212|T1601.001|T1136.003|T1203|T1053.006|T1222.002|T1542.004|T1555|T1046|T1008|T1556.003|T1552.001|T1556.002|T1205|T1003.007|T1218.005|T1111|T1055.013|T1078.001|T1547.009|T1489|T1560|T1563.001|T1021.006|T1132.001|T1552.002|T1197|T1059|T1213.002|T1003.004|T1550.001|T1055.004|T1484|T1071.001|T1071.002|T1578.002|T1055.014|T1030|T1071|T1547.013|T1561.001|T1078.002|T1127|T1537|T1218.012|T1525|T1003.006|T1055.009|T1565.001|T1210|T1055.011|T1558|T1499.003|T1559.002|T1041|T1530|T1543|T1574.009|T1560.001|T1201|T1611|T1564.008|T1213|T1612|T1070|T1599|T1021.004|T1561|T1106|T1213.001|T1574.001|T1104|T1555.002|T1219|T1573|T1552.005|T1610|T1218.004|T1561.002|T1565.003|T1558.004|T1059.008|T1078.003|T1563.002|T1114.003|T1021|T1569|T1055.002|T1218|T1059.002|T1574.008|T1546.008|T1001.002|T1048.001|T1598|T1036.001|T1187|T1190|T1601.002|T1003.005|T1037.002|T1547.012|T1491.001|T1558.003|T1020.001|T1598.002|T1218.010|T1005|T1098.002|T1003.008|T1053|T1218.011|T1037.003|T1068|T1095|T1078|T1564.007|T1553.004|T1056.002|T1552|T1547.008|T1598.001|T1204|T1102|T1547.004|T1204.002|T1132|T1036|T1048.002|T1098.004|T1499.004|T1553.001|T1491|T1110|T1003.001|T1546.003|T1542.005|T1556|T1204.001|T1132.002|T1052|T1505.003|T1087.002|T1505.004|T1546.006|T1562.003|T1220|T1059.007|T1573.002|T1003.002|T1105|T1499.001|T1205.001|T1072|T1119|T1110.001|T1221|T1102.003|T1555.001|T1552.003|T1557|T1102.002|T1080|T1027.002|T1136|T1078.004|T1578.001|T1547.011|T1557.001|T1036.007|T1550.003|T1047|T1053.001|T1564.002|T1547.005|T1059.005|T1505|T1036.003|T1218.002|T1059.006|T1567|T1602.002|T1185|T1546.004|T1090|T1222.001|T1133|T1548|T1090.001|T1136.001|T1599.001|T1136.002|T1025|T1055.005|T1098.001|T1598.003|T1029|T1037.004|T1556.001|T1546.013|T1499.002|T1556.004|T1070.001|T1578.003|T1563|T1003.003|T1204.003|T1216|T1087|T1127.001|T1003|T1566.001|T1602|T1129|T1110.003|T1574.007|T1568.002|T1059.001|T1565|T1569.002|T1491.002|T1543.002|T1485|T1601|T1001.003|T1564.004|T1574.004|T1021.003|T1578|T1562.010|T1562.006|T1055.008|T1566.002|T1564.006|T1564.009|T1135|T1568|T1490|T1566|T1555.004|T1573.001|T1048.003|T1562.001|T1053.003|T1562|T1037.005|T1486|T1137.001|T1055|T1548.001|T1547.002|T1091|T1566.003|T1562.004|T1011|T1001|T1222|T1055.001|T1570|T1055.012|T1218.003|T1021.005|T1574|T1189|T1036.005|T1114|T1211|T1539|T1505.002|T1218.013|T1557.002|T1176|T1553.003|T1555.005|T1546.014|T1552.004|T1027|T1055.003|T1571|T1547.006|T1092|T1572|T1559|T1070.003|T1098|T1562.002|T1070.002|T1102.001
CM-6,311,CIS-4|CIS-12|CIS-13|CIS-16,T1011.001|T1218.014|T1547.003|T1110.004|T1090.002|T1554|T1098.003|T1553.005|T1071.003|T1553|T1059.003|T1482|T1547.007|T1114.002|T1499|T1565.002|T1110.002|T1056.003|T1548.003|T1542.001|T1218.009|T1574.005|T1021.002|T1137|T1199|T1528|T1548.002|T1558.002|T1216.001|T1021.001|T1001.001|T1574.010|T1037|T1613|T1087.001|T1053.005|T1218.001|T1548.004|T1071.004|T1053.002|T1052.001|T1137.004|T1134.001|T1546.002|T1552.006|T1048|T1602.001|T1059.004|T1218.008|T1212|T1601.001|T1136.003|T1222.002|T1542.004|T1046|T1008|T1556.003|T1552.001|T1556.002|T1205|T1003.007|T1218.005|T1111|T1489|T1550.002|T1563.001|T1021.006|T1132.001|T1552.002|T1197|T1059|T1213.002|T1003.004|T1550.001|T1484|T1071.001|T1071.002|T1030|T1071|T1547.013|T1562.009|T1078.002|T1127|T1537|T1542|T1218.012|T1525|T1003.006|T1565.001|T1210|T1558|T1552.007|T1498.002|T1499.003|T1559.002|T1530|T1543|T1574.009|T1201|T1611|T1546|T1213|T1612|T1070|T1599|T1021.004|T1106|T1213.001|T1574.001|T1104|T1219|T1573|T1552.005|T1610|T1218.004|T1565.003|T1558.004|T1059.008|T1078.003|T1563.002|T1114.003|T1021|T1569|T1137.006|T1218|T1059.002|T1574.008|T1134.005|T1546.008|T1001.002|T1048.001|T1598|T1036.001|T1187|T1190|T1601.002|T1003.005|T1037.002|T1558.003|T1020.001|T1598.002|T1137.005|T1098.002|T1003.008|T1053|T1037.003|T1068|T1095|T1078|T1564.007|T1553.004|T1552|T1547.008|T1204|T1102|T1204.002|T1132|T1036|T1048.002|T1098.004|T1499.004|T1553.001|T1110|T1003.001|T1546.003|T1542.005|T1556|T1204.001|T1132.002|T1052|T1505.003|T1087.002|T1505.004|T1546.006|T1562.003|T1220|T1059.007|T1573.002|T1003.002|T1105|T1499.001|T1205.001|T1072|T1119|T1110.001|T1134.003|T1221|T1102.003|T1552.003|T1557|T1102.002|T1090.003|T1136|T1078.004|T1547.011|T1557.001|T1036.007|T1550.003|T1047|T1564.002|T1547.005|T1059.005|T1505|T1542.003|T1036.003|T1218.002|T1059.006|T1602.002|T1498|T1546.004|T1090|T1222.001|T1133|T1548|T1090.001|T1136.001|T1599.001|T1136.002|T1134.002|T1134|T1098.001|T1598.003|T1029|T1037.004|T1137.002|T1556.001|T1574.006|T1546.013|T1499.002|T1556.004|T1070.001|T1563|T1003.003|T1137.003|T1204.003|T1550|T1216|T1087|T1498.001|T1127.001|T1003|T1566.001|T1602|T1558.001|T1110.003|T1574.007|T1059.001|T1565|T1569.002|T1543.002|T1218.007|T1601|T1001.003|T1574.004|T1021.003|T1562.010|T1562.006|T1055.008|T1566.002|T1564.006|T1564.009|T1135|T1490|T1566|T1555.004|T1573.001|T1048.003|T1562.001|T1505.001|T1609|T1562|T1037.005|T1137.001|T1559.001|T1055|T1548.001|T1547.002|T1091|T1495|T1562.004|T1011|T1001|T1222|T1570|T1218.003|T1021.005|T1574|T1189|T1036.005|T1114|T1211|T1539|T1505.002|T1218.013|T1557.002|T1176|T1553.003|T1555.005|T1546.014|T1552.004|T1027|T1571|T1547.006|T1092|T1572|T1559|T1070.003|T1098|T1562.002|T1070.002|T1102.001
CM-2,253,CIS-4,T1216|T1218.012|T1011.001|T1525|T1491|T1110|T1003.001|T1003.006|T1218.014|T1110.004|T1546.003|T1542.005|T1547.003|T1556|T1204.001|T1090.002|T1565.001|T1554|T1553.005|T1132.002|T1210|T1052|T1127.001|T1071.003|T1505.003|T1553|T1059.003|T1505.004|T1558|T1546.006|T1547.007|T1003|T1566.001|T1602|T1559.002|T1562.003|T1220|T1114.002|T1530|T1059.007|T1543|T1574.009|T1573.002|T1201|T1003.002|T1110.003|T1129|T1105|T1558.001|T1546|T1565.002|T1574.007|T1110.002|T1072|T1213|T1119|T1059.001|T1548.003|T1565|T1070|T1569.002|T1218.009|T1574.005|T1491.002|T1543.002|T1021.002|T1021.004|T1137|T1110.001|T1485|T1599|T1218.007|T1221|T1601|T1528|T1548.002|T1102.003|T1561|T1106|T1213.001|T1557|T1001.003|T1574.001|T1102.002|T1104|T1558.002|T1216.001|T1021.001|T1574.004|T1001.001|T1080|T1574.010|T1021.003|T1219|T1037|T1562.010|T1053.005|T1573|T1218.001|T1548.004|T1071.004|T1547.011|T1557.001|T1562.006|T1566.002|T1564.006|T1036.007|T1550.003|T1564.009|T1218.004|T1047|T1053.002|T1561.002|T1490|T1052.001|T1137.004|T1566|T1558.004|T1546.002|T1552.006|T1048|T1059.005|T1059.008|T1555.004|T1505|T1602.001|T1563.002|T1048.003|T1573.001|T1562.001|T1059.004|T1036.003|T1218.008|T1505.001|T1218.002|T1569|T1562|T1137.006|T1218|T1059.002|T1059.006|T1574.008|T1602.002|T1134.005|T1212|T1037.005|T1486|T1001.002|T1137.001|T1546.010|T1601.001|T1185|T1543.001|T1546.004|T1090|T1048.001|T1559.001|T1133|T1598|T1091|T1548|T1090.001|T1542.004|T1046|T1562.004|T1008|T1036.001|T1187|T1001|T1543.004|T1552.001|T1601.002|T1599.001|T1205|T1003.005|T1003.007|T1037.002|T1570|T1218.005|T1111|T1218.003|T1491.001|T1021.005|T1020.001|T1189|T1558.003|T1574|T1598.002|T1036.005|T1114|T1211|T1539|T1505.002|T1598.003|T1218.013|T1029|T1137.005|T1557.002|T1003.008|T1053|T1037.004|T1137.002|T1176|T1563.001|T1037.003|T1553.003|T1021.006|T1132.001|T1068|T1095|T1059|T1213.002|T1555.005|T1553.001|T1003.004|T1546.014|T1552.004|T1027|T1543.003|T1550.001|T1564.007|T1546.013|T1571|T1484|T1547.008|T1552|T1071.001|T1102|T1204|T1092|T1204.002|T1556.004|T1071.002|T1070.001|T1132|T1563|T1003.003|T1030|T1071|T1547.013|T1137.003|T1559|T1561.001|T1070.003|T1572|T1562.002|T1036|T1098.004|T1048.002|T1070.002|T1102.001|T1127|T1204.003
AC-3,240,CIS-3|CIS-6,T1550|T1498.001|T1218.012|T1525|T1491|T1110|T1003.001|T1003.006|T1055.009|T1110.004|T1546.003|T1542.005|T1547.003|T1556|T1565.001|T1098.003|T1210|T1052|T1505.003|T1059.003|T1505.004|T1552.007|T1547.007|T1558|T1003|T1498.002|T1569.001|T1499.003|T1602|T1041|T1114.002|T1530|T1059.007|T1543|T1562.008|T1574.009|T1499|T1003.002|T1110.003|T1558.001|T1574.007|T1499.001|T1205.001|T1611|T1110.002|T1072|T1213|T1056.003|T1612|T1059.001|T1548.003|T1565|T1070|T1569.002|T1542.001|T1574.005|T1491.002|T1543.002|T1021.002|T1021.004|T1199|T1110.001|T1485|T1134.003|T1599|T1218.007|T1601|T1528|T1548.002|T1561|T1213.001|T1557|T1564.004|T1558.002|T1090.003|T1021.001|T1574.004|T1080|T1574.010|T1021.003|T1578|T1219|T1136|T1037|T1619|T1613|T1078.004|T1053.005|T1578.001|T1053.007|T1552.005|T1071.004|T1547.011|T1055.008|T1557.001|T1562.006|T1610|T1562.007|T1550.003|T1047|T1053.002|T1053.001|T1561.002|T1490|T1052.001|T1565.003|T1558.004|T1134.001|T1048|T1059.005|T1059.008|T1078.003|T1505|T1602.001|T1563.002|T1048.003|T1021|T1542.003|T1562.001|T1059.004|T1053.003|T1036.003|T1569|T1218.002|T1213.003|T1562|T1609|T1218|T1059.002|T1059.006|T1574.008|T1567|T1602.002|T1134.005|T1037.005|T1498|T1486|T1087.004|T1601.001|T1185|T1543.001|T1546.004|T1090|T1048.001|T1136.003|T1222.001|T1559.001|T1053.006|T1055|T1133|T1091|T1548|T1222.002|T1542.004|T1495|T1562.004|T1136.001|T1187|T1556.003|T1190|T1543.004|T1601.002|T1599.001|T1222|T1205|T1003.005|T1003.007|T1037.002|T1136.002|T1570|T1134.002|T1547.012|T1491.001|T1558.003|T1021.005|T1574|T1606.001|T1025|T1036.005|T1114|T1134|T1098.001|T1505.002|T1539|T1005|T1098.002|T1557.002|T1003.008|T1606|T1053|T1037.004|T1547.009|T1489|T1550.002|T1563.001|T1037.003|T1553.003|T1556.001|T1021.006|T1552.002|T1197|T1095|T1059|T1078|T1213.002|T1003.004|T1543.003|T1546.013|T1484|T1552|T1499.002|T1580|T1547.004|T1547.006|T1556.004|T1070.001|T1578.002|T1538|T1563|T1578.003|T1606.002|T1003.003|T1547.013|T1562.009|T1574.012|T1572|T1559|T1561.001|T1070.003|T1098|T1562.002|T1036|T1098.004|T1048.002|T1499.004|T1078.002|T1070.002|T1537|T1542|T1200
AC-6,229,CIS-3|CIS-5|CIS-6,T1550|T1525|T1112|T1491|T1110|T1003.001|T1003.006|T1055.009|T1110.004|T1546.003|T1542.005|T1547.003|T1556|T1098.003|T1210|T1052|T1505.003|T1553|T1055.011|T1059.003|T1505.004|T1552.007|T1558|T1003|T1569.001|T1559.002|T1041|T1530|T1059.007|T1543|T1562.008|T1574.009|T1003.002|T1110.003|T1558.001|T1574.007|T1611|T1110.002|T1072|T1213|T1056.003|T1612|T1059.001|T1548.003|T1070|T1569.002|T1542.001|T1574.005|T1491.002|T1543.002|T1021.002|T1021.004|T1137|T1110.001|T1199|T1134.003|T1485|T1599|T1218.007|T1601|T1528|T1548.002|T1561|T1106|T1213.001|T1558.002|T1021.001|T1574.004|T1574.010|T1021.003|T1578|T1136|T1619|T1613|T1078.004|T1053.005|T1578.001|T1053.007|T1562.006|T1547.011|T1055.008|T1610|T1562.007|T1550.003|T1047|T1053.002|T1053.001|T1561.002|T1490|T1052.001|T1137.004|T1134.001|T1552.006|T1048|T1059.005|T1059.008|T1078.003|T1505|T1563.002|T1048.003|T1021|T1542.003|T1562.001|T1059.004|T1053.003|T1036.003|T1569|T1213.003|T1562|T1055.002|T1137.006|T1609|T1218|T1059.002|T1059.006|T1574.008|T1567|T1134.005|T1212|T1486|T1553.006|T1137.001|T1087.004|T1601.001|T1185|T1543.001|T1546.004|T1136.003|T1203|T1222.001|T1559.001|T1053.006|T1055|T1133|T1091|T1548|T1222.002|T1542.004|T1495|T1562.004|T1136.001|T1556.003|T1190|T1543.004|T1552.001|T1601.002|T1599.001|T1222|T1055.001|T1003.005|T1003.007|T1136.002|T1134.002|T1547.012|T1055.012|T1491.001|T1558.003|T1021.005|T1574|T1189|T1606.001|T1025|T1036.005|T1055.013|T1078.001|T1055.005|T1098.001|T1134|T1211|T1505.002|T1539|T1574.011|T1005|T1137.005|T1098.002|T1003.008|T1606|T1053|T1547.009|T1489|T1137.002|T1176|T1550.002|T1553.003|T1563.001|T1556.001|T1021.006|T1552.002|T1068|T1197|T1059|T1078|T1213.002|T1003.004|T1543.003|T1055.003|T1546.013|T1055.004|T1484|T1552|T1580|T1547.004|T1547.006|T1556.004|T1070.001|T1055.014|T1538|T1546.011|T1563|T1578.002|T1578.003|T1606.002|T1003.003|T1547.013|T1562.009|T1574.012|T1137.003|T1559|T1561.001|T1070.003|T1098|T1562.002|T1036|T1048.002|T1078.002|T1070.002|T1537|T1542|T1200
SI-3,198,CIS-9|CIS-10,T1218.012|T1011.001|T1525|T1491|T1003.001|T1003.006|T1055.009|T1218.014|T1546.003|T1204.001|T1090.002|T1132.002|T1210|T1052|T1071.003|T1055.011|T1059.003|T1505.004|T1558|T1546.006|T1547.007|T1003|T1566.001|T1602|T1559.002|T1041|T1059.007|T1543|T1574.009|T1560.001|T1573.002|T1201|T1003.002|T1574.007|T1564.008|T1105|T1611|T1568.002|T1072|T1059.001|T1070|T1569.002|T1218.009|T1491.002|T1543.002|T1137|T1485|T1221|T1102.003|T1561|T1106|T1557|T1001.003|T1574.001|T1564.004|T1102.002|T1104|T1558.002|T1574.004|T1001.001|T1080|T1021.003|T1027.002|T1219|T1037|T1573|T1218.001|T1548.004|T1071.004|T1562.006|T1055.008|T1557.001|T1566.002|T1564.009|T1218.004|T1047|T1568|T1561.002|T1490|T1052.001|T1566|T1558.004|T1546.002|T1547.005|T1048|T1059.005|T1059.008|T1602.001|T1573.001|T1048.003|T1562.001|T1059.004|T1036.003|T1218.008|T1569|T1218.002|T1562|T1055.002|T1218|T1059.002|T1059.006|T1574.008|T1567|T1602.002|T1212|T1037.005|T1486|T1001.002|T1137.001|T1185|T1546.004|T1090|T1048.001|T1203|T1559.001|T1055|T1547.002|T1598|T1091|T1548|T1090.001|T1566.003|T1046|T1562.004|T1008|T1001|T1190|T1055.001|T1003.005|T1003.007|T1037.002|T1570|T1218.005|T1055.012|T1111|T1218.003|T1021.005|T1491.001|T1189|T1558.003|T1574|T1598.002|T1025|T1036.005|T1055.013|T1211|T1055.005|T1539|T1598.003|T1218.013|T1029|T1005|T1557.002|T1003.008|T1037.004|T1560|T1176|T1037.003|T1553.003|T1132.001|T1068|T1095|T1059|T1003.004|T1546.014|T1027|T1055.003|T1546.013|T1571|T1055.004|T1056.002|T1547.008|T1598.001|T1071.001|T1102|T1204|T1092|T1547.006|T1204.002|T1071.002|T1070.001|T1055.014|T1132|T1003.003|T1030|T1071|T1547.013|T1572|T1559|T1561.001|T1070.003|T1562.002|T1036|T1048.002|T1098.004|T1070.002|T1102.001|T1204.003
CM-7,196,CIS-2|CIS-4|CIS-12|CIS-13|CIS-16,T1216|T1087|T1218.012|T1011.001|T1498.001|T1525|T1112|T1003.001|T1218.014|T1542.005|T1556|T1204.001|T1090.002|T1553.005|T1210|T1052|T1071.003|T1553|T1087.002|T1482|T1505.004|T1552.007|T1546.006|T1547.007|T1003|T1498.002|T1499.003|T1602|T1559.002|T1562.003|T1220|T1530|T1059.007|T1543|T1574.009|T1499|T1573.002|T1037.001|T1129|T1195|T1003.002|T1105|T1499.001|T1205.001|T1564.008|T1574.007|T1611|T1072|T1213|T1612|T1548.003|T1565|T1569.002|T1218.009|T1021.002|T1599|T1199|T1218.007|T1221|T1601|T1102.003|T1106|T1213.001|T1552.003|T1557|T1574.001|T1102.002|T1104|T1090.003|T1195.002|T1021.001|T1216.001|T1080|T1021.003|T1219|T1136|T1037|T1613|T1087.001|T1053.005|T1573|T1218.001|T1548.004|T1552.005|T1071.004|T1547.011|T1557.001|T1562.006|T1610|T1564.006|T1036.007|T1564.009|T1218.004|T1047|T1135|T1053.002|T1565.003|T1490|T1052.001|T1564.002|T1546.002|T1048|T1059.005|T1555.004|T1602.001|T1563.002|T1048.003|T1573.001|T1562.001|T1569|T1218.008|T1218.002|T1609|T1562|T1218|T1574.008|T1602.002|T1498|T1546.008|T1553.006|T1546.010|T1601.001|T1090|T1546.009|T1048.001|T1136.003|T1548.001|T1133|T1548|T1090.001|T1542.004|T1046|T1562.004|T1011|T1008|T1187|T1190|T1601.002|T1556.002|T1599.001|T1205|T1003.005|T1136.002|T1570|T1218.005|T1218.003|T1021.005|T1574|T1036.005|T1098.001|T1218.013|T1564.003|T1557.002|T1053|T1489|T1176|T1563.001|T1553.003|T1021.006|T1068|T1197|T1095|T1059|T1213.002|T1574.006|T1553.001|T1195.001|T1571|T1553.004|T1484|T1552|T1499.002|T1204|T1071.001|T1102|T1092|T1547.004|T1547.006|T1204.002|T1071.002|T1563|T1071|T1562.009|T1574.012|T1572|T1559|T1098|T1562.002|T1036|T1048.002|T1098.004|T1499.004|T1102.001|T1127|T1537|T1204.003
CA-7,194,CIS-3,T1498.001|T1218.012|T1110|T1003.001|T1003.006|T1055.009|T1110.004|T1546.003|T1542.005|T1547.003|T1556|T1204.001|T1090.002|T1565.001|T1132.002|T1210|T1052|T1071.003|T1558|T1003|T1498.002|T1499.003|T1566.001|T1602|T1041|T1530|T1059.007|T1543|T1574.009|T1499|T1573.002|T1201|T1003.002|T1110.003|T1195|T1105|T1499.001|T1205.001|T1574.007|T1568.002|T1110.002|T1072|T1213|T1548.003|T1565|T1070|T1569.002|T1543.002|T1021.002|T1599|T1110.001|T1221|T1528|T1102.003|T1213.001|T1555.001|T1557|T1001.003|T1564.004|T1102.002|T1104|T1558.002|T1090.003|T1195.002|T1574.004|T1001.001|T1080|T1555.002|T1219|T1037|T1078.004|T1573|T1552.005|T1071.004|T1547.011|T1557.001|T1562.006|T1566.002|T1036.007|T1550.003|T1568|T1565.003|T1052.001|T1566|T1558.004|T1048|T1059.005|T1078.003|T1602.001|T1573.001|T1048.003|T1562.001|T1569|T1036.003|T1218.002|T1213.003|T1562|T1218|T1574.008|T1567|T1602.002|T1212|T1037.005|T1498|T1001.002|T1185|T1546.004|T1090|T1048.001|T1203|T1222.001|T1053.006|T1598|T1548|T1222.002|T1090.001|T1542.004|T1555|T1046|T1562.004|T1566.003|T1008|T1187|T1001|T1190|T1552.001|T1599.001|T1222|T1205|T1003.005|T1003.007|T1037.002|T1570|T1111|T1558.003|T1021.005|T1574|T1189|T1218.010|T1598.002|T1036.005|T1211|T1078.001|T1539|T1598.003|T1029|T1557.002|T1003.008|T1037.004|T1489|T1176|T1218.011|T1037.003|T1553.003|T1563.001|T1556.001|T1132.001|T1552.002|T1068|T1197|T1095|T1059|T1078|T1213.002|T1003.004|T1195.001|T1552.004|T1546.013|T1571|T1056.002|T1552|T1499.002|T1598.001|T1071.001|T1102|T1204|T1204.002|T1071.002|T1070.001|T1132|T1003.003|T1030|T1071|T1547.013|T1572|T1070.003|T1562.002|T1036|T1048.002|T1499.004|T1070.002|T1102.001|T1537|T1204.003
AC-2,181,CIS-4|CIS-5|CIS-6|CIS-12,T1550|T1525|T1110|T1003.001|T1003.006|T1546.003|T1110.004|T1542.005|T1556|T1098.003|T1210|T1052|T1505.003|T1059.003|T1558|T1552.007|T1003|T1569.001|T1041|T1530|T1059.007|T1543|T1562.008|T1574.009|T1003.002|T1110.003|T1558.001|T1574.007|T1611|T1110.002|T1072|T1213|T1056.003|T1612|T1059.001|T1548.003|T1070|T1569.002|T1542.001|T1574.005|T1543.002|T1021.002|T1021.004|T1599|T1110.001|T1134.003|T1218.007|T1601|T1528|T1548.002|T1213.001|T1558.002|T1021.001|T1574.004|T1574.010|T1021.003|T1578|T1136|T1619|T1613|T1078.004|T1053.005|T1578.001|T1053.007|T1562.006|T1055.008|T1610|T1562.007|T1550.003|T1047|T1053.002|T1053.001|T1052.001|T1558.004|T1134.001|T1552.006|T1048|T1059.005|T1059.008|T1078.003|T1505|T1563.002|T1048.003|T1021|T1542.003|T1562.001|T1059.004|T1053.003|T1036.003|T1569|T1213.003|T1562|T1609|T1218|T1059.002|T1059.006|T1574.008|T1567|T1212|T1087.004|T1601.001|T1185|T1543.001|T1136.003|T1222.001|T1559.001|T1053.006|T1055|T1548|T1222.002|T1495|T1562.004|T1136.001|T1556.003|T1190|T1543.004|T1552.001|T1601.002|T1599.001|T1222|T1003.005|T1136.002|T1003.007|T1134.002|T1547.012|T1558.003|T1021.005|T1574|T1606.001|T1025|T1036.005|T1134|T1078.001|T1098.001|T1505.002|T1005|T1098.002|T1003.008|T1606|T1053|T1547.009|T1489|T1550.002|T1563.001|T1556.001|T1021.006|T1552.002|T1068|T1197|T1059|T1078|T1213.002|T1003.004|T1552.004|T1543.003|T1484|T1552|T1580|T1547.004|T1547.006|T1556.004|T1070.001|T1578.002|T1538|T1563|T1578.003|T1606.002|T1003.003|T1547.013|T1562.009|T1574.012|T1559|T1070.003|T1098|T1562.002|T1036|T1048.002|T1078.002|T1070.002|T1537|T1542
SI-7,179,CIS-2,T1216|T1218.012|T1525|T1491|T1218.014|T1547.003|T1542.005|T1556|T1565.001|T1554|T1098.003|T1210|T1553.005|T1553|T1059.003|T1505.004|T1558|T1546.006|T1003|T1602|T1220|T1114.002|T1530|T1059.007|T1543|T1574.009|T1129|T1565.002|T1564.008|T1574.007|T1611|T1546|T1072|T1213|T1119|T1059.001|T1565|T1070|T1569.002|T1542.001|T1218.009|T1491.002|T1543.002|T1599|T1485|T1221|T1601|T1561|T1213.001|T1557|T1574.001|T1564.004|T1558.002|T1216.001|T1574.004|T1080|T1027.002|T1219|T1136|T1037|T1218.001|T1548.004|T1562.006|T1547.011|T1564.006|T1564.009|T1218.004|T1047|T1561.002|T1490|T1558.004|T1546.002|T1547.005|T1059.005|T1059.008|T1505|T1602.001|T1114.003|T1114.001|T1542.003|T1562.001|T1059.004|T1505.001|T1218.008|T1569|T1218.002|T1609|T1562|T1040|T1059.002|T1218|T1059.006|T1574.008|T1602.002|T1212|T1037.005|T1546.008|T1486|T1553.006|T1546.010|T1601.001|T1185|T1546.004|T1546.009|T1136.003|T1203|T1222.001|T1053.006|T1133|T1547.002|T1548|T1222.002|T1542.004|T1495|T1562.004|T1136.001|T1036.001|T1556.003|T1190|T1601.002|T1599.001|T1222|T1037.002|T1136.002|T1218.005|T1491.001|T1218.003|T1558.003|T1020.001|T1574|T1189|T1218.010|T1036.005|T1114|T1211|T1098.001|T1505.002|T1218.013|T1564.003|T1098.002|T1557.002|T1037.004|T1176|T1218.011|T1037.003|T1553.003|T1556.001|T1068|T1059|T1213.002|T1574.006|T1553.001|T1550.004|T1552.004|T1027|T1550.001|T1546.013|T1056.002|T1552|T1547.008|T1204|T1547.004|T1547.006|T1204.002|T1556.004|T1070.001|T1195.003|T1003.003|T1547.013|T1562.009|T1574.012|T1561.001|T1070.003|T1562.002|T1036|T1070.002|T1127|T1204.003|T1542
